               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.025396,            0.021412,           0.0070244,             0.69666,             0.64435,             0.67446,             0.48354,            0.029215,            0.014293,            0.031286,           0.0056044,           0.0056044,           0.0056044
                 113,            0.025547,            0.022149,           0.0070465,              0.6771,             0.63953,             0.67436,             0.48384,            0.028911,            0.013917,            0.031084,           0.0055648,           0.0055648,           0.0055648
                 114,             0.02498,            0.021824,           0.0063894,             0.68963,             0.66027,             0.68108,             0.48368,            0.029816,            0.014746,            0.034416,           0.0055252,           0.0055252,           0.0055252
                 115,            0.025903,            0.021608,           0.0071817,             0.68401,             0.65963,             0.67713,             0.48306,            0.030234,             0.01416,            0.032188,           0.0054856,           0.0054856,           0.0054856
                 116,             0.02548,            0.021237,            0.007499,              0.7196,             0.64046,             0.67503,             0.48749,            0.030575,            0.014151,            0.028726,            0.005446,            0.005446,            0.005446
                 117,            0.024844,             0.02162,           0.0079905,             0.68624,             0.65446,             0.67904,             0.48734,            0.030133,            0.014099,            0.028762,           0.0054064,           0.0054064,           0.0054064
                 118,            0.025943,            0.021609,           0.0067719,             0.67467,             0.66511,             0.67801,              0.4872,             0.03007,            0.014097,            0.029345,           0.0053668,           0.0053668,           0.0053668
                 119,            0.024932,            0.021262,           0.0067273,             0.70082,             0.64329,               0.681,             0.48751,            0.030255,            0.014413,            0.024368,           0.0053272,           0.0053272,           0.0053272
                 120,            0.024842,            0.021287,           0.0068782,             0.70745,             0.64041,             0.68132,             0.48901,             0.02967,            0.014484,            0.025535,           0.0052876,           0.0052876,           0.0052876
                 121,            0.025475,            0.020636,           0.0070959,             0.68931,             0.65533,             0.68419,             0.48957,            0.029814,            0.014611,             0.02644,            0.005248,            0.005248,            0.005248
                 122,            0.025069,            0.020959,           0.0068687,              0.7012,             0.66151,             0.68431,             0.48664,            0.030316,            0.014512,            0.027215,           0.0052084,           0.0052084,           0.0052084
                 123,            0.024622,            0.020742,           0.0069666,             0.70617,              0.6675,             0.68507,             0.49318,            0.030272,            0.014352,            0.024107,           0.0051688,           0.0051688,           0.0051688
                 124,            0.024594,            0.022075,           0.0065398,             0.69814,             0.63596,             0.68185,             0.49016,            0.029132,            0.014467,            0.028245,           0.0051292,           0.0051292,           0.0051292
                 125,            0.024886,            0.021108,           0.0057873,             0.72177,             0.64259,             0.69515,             0.49357,            0.029171,             0.01407,             0.02478,           0.0050896,           0.0050896,           0.0050896
                 126,            0.025117,             0.02069,           0.0065893,             0.72312,             0.65017,             0.69418,             0.49808,            0.029718,            0.014099,            0.026552,             0.00505,             0.00505,             0.00505
